Pseudo Rapidity of 0n0n:	Pseudo Rapidity of 0nXn:	Pseudo Rapidity of XnXn:
7.17741	7.12896	3.64659
7.21126	6.96744	2.80485
-7.00921	-7.98703	3.53785
-6.36633	6.92053	-2.96514
-7.5523	7.46457	3.89656
7.17554	-7.18869	2.85684
6.26285	7.28504	-1.61767
-7.1182	7.22302	2.34456
-6.19885	7.31232	-4.38518
-6.47869	-7.02467	4.86514
-6.53986	7.14419	4.35583
-6.12424	-7.35378	-5.30795
-5.52071	-7.32189	-6.15239
-3.48105	7.54449	7.77248
6.27434	6.85008	-6.76416
5.89494	-6.40981	6.08879
-6.40505	-7.19942	5.88284
-5.40702	-7.23173	5.19763
6.19358	6.61428	-5.72489
6.68707	7.13876	-6.51454
-5.38848	-7.0057	-6.33997
4.93297	-6.07987	-6.50131
-5.45767	-7.65729	7.08526
-5.19801	7.51244	-6.44625
-5.42473	6.74522	4.97435
5.84419	-6.18739	-6.71914
-6.78489	6.27719	-7.47465
-5.64779	6.30999	0.897558
-3.62853	-6.27216	-5.2506
6.15084	-6.24681	-7.46362
6.76142	-6.51862	6.33766
6.21424	-7.41253	6.15874
-5.22798	3.06817	7.30486
-4.11282	5.10935	6.83334
7.02695	5.11	6.12918
4.6092	-6.45965	6.98488
6.79702	6.35481	2.93441
-6.54568	-7.549	-4.01007
6.374	-6.9471	-5.1597
7.26256	-6.59581	-5.78054
5.13993	6.19761	4.36905
-4.96418	-6.42702	-4.63668
-5.97615	5.57966	-5.21925
4.03552	5.22034	-4.5345
-7.06212	-5.67754	-4.07526
-4.28999	-7.29232	3.91438
4.00757	-5.38773	-3.93095
6.6727	4.13099	4.88297
5.48713	5.87915	-3.79141
4.4701	-5.18663	4.0944
-3.92781	7.54777	-5.51279
-3.28817	5.40968	-5.70915
4.25929	-4.80261	5.76543
5.82545	5.24943	-4.56835
-6.2953	3.46906	4.62086
-6.96063	0.257953	4.57855
-7.0527	-6.94419	4.63268
-3.10812	6.75467	-4.65558
6.68731	-6.49785	5.78994
7.02818	-4.36042	-4.20582
-5.62869	-2.57506	5.14282
-3.10566	-7.09687	-6.16331
4.12431	-5.4049	-4.3544
-3.19841	-6.94839	-5.75415
-4.20178	5.38132	6.00805
-5.62688	6.19958	6.02955
5.55022	-6.04741	6.56777
-5.81788	6.85467	-4.80154
4.34283	7.28366	-7.01081
4.39837	-6.8107	5.54959
-3.91296	6.60257	-5.55265
0.607919	5.82515	-5.25909
5.70173	-6.54133	6.74763
-6.68892	6.56152	-7.61292
-2.61757	6.06855	6.31743
-3.74245	-6.22005	-6.23333
-3.46047	-6.85635	-6.37329
2.89143	7.87289	5.6096
4.10578	7.35743	5.64658
-7.52334	6.05718	5.40368
6.72337	-7.60341	-4.66115
6.00049	-6.76458	-5.50644
6.83217	6.97435	-5.60985
-6.66827	-7.15531	-5.92585
